Bank_Name,City,State,Cert,Acquiring_Institution,Closing_Date,Estimated_Loss,Total_Assets,Total_Deposits
First Republic Bank,San Francisco,CA,59017,"JPMorgan Chase Bank, N.A.",2023-05-01,,212638872000,176436706000
Signature Bank,New York,NY,57053,"Flagstar Bank, N.A.",2023-03-12,2400000000,110363650000,88612911000
Silicon Valley Bank,Santa Clara,CA,24735,First–Citizens Bank & Trust Company,2023-03-10,16100000000,209026000000,175378000000
Almena State Bank,Almena,KS,15426,Equity Bank,2020-10-23,16330000,65733000,64941000
First City Bank of Florida,Fort Walton Beach,FL,16748,"United Fidelity Bank, fsb",2020-10-16,7247000,136566000,133936000
The First State Bank,Barboursville,WV,14361,"MVB Bank, Inc.",2020-04-03,45328000,151808000,143102000
Ericson State Bank,Ericson,NE,18265,Farmers and Merchants Bank,2020-02-14,24465000,100879000,95159000
City National Bank of New Jersey,Newark,NJ,21111,Industrial Bank,2019-11-01,2136000,120574000,111234000
Louisa Community Bank,Louisa,KY,58112,Kentucky Farmers Bank Corporation,2019-10-25,4264000,28163000,25174000
Resolute Bank,Maumee,OH,58317,Buckeye State Bank,2019-10-25,1571000,23292000,22885000
The Enloe State Bank,Cooper,TX,10716,"Legend Bank, N. A.",2019-05-31,18263000,36738000,31254000
Washington Federal Bank for Savings,Chicago,IL,30570,Royal Savings Bank,2017-12-15,76455000,166345000,143964000
The Farmers and Merchants State Bank of Argonia,Argonia,KS,17719,Conway Bank,2017-10-13,280000,33012000,27466000
Fayette County Bank,Saint Elmo,IL,1802,"United Fidelity Bank, fsb",2017-05-26,8088000,34370000,33972000
"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",Milwaukee,WI,30003,First-Citizens Bank & Trust Company,2017-05-05,131962000,1031900000,1002026000
First NBC Bank,New Orleans,LA,58302,Whitney Bank,2017-04-28,786550000,3325870000,3032208000
Proficio Bank,Cottonwood Heights,UT,35495,Cache Valley Bank,2017-03-03,9874000,68208000,65042000
Seaway Bank and Trust Company,Chicago,IL,19328,State Bank of Texas,2017-01-27,44006000,297809000,256505000
Harvest Community Bank,Pennsville,NJ,34951,First-Citizens Bank & Trust Company,2017-01-13,22158000,124223000,122177000
Allied Bank,Mulberry,AR,91,Today's Bank,2016-09-23,6213000,66336000,64713000
The Woodbury Banking Company,Woodbury,GA,11297,United Bank,2016-08-19,3290000,21426000,21122000
First CornerStone Bank,King of Prussia,PA,35312,First-Citizens Bank & Trust Company,2016-05-06,10825000,103307000,101040000
Trust Company Bank,Memphis,TN,9956,The Bank of Fayette County,2016-04-29,10372000,18998000,20148000
North Milwaukee State Bank,Milwaukee,WI,20364,First-Citizens Bank & Trust Company,2016-03-11,11773000,67115000,61493000
The Bank of Georgia,Peachtree City,GA,35259,Fidelity Bank,2015-10-02,27760000,286102000,264234000
Hometown National Bank,Longview,WA,35156,Twin City Bank,2015-10-02,995000,3785000,3705000
